"text","playerId","trial"
"NOT A MATTER OF LIFE OR DEATH JUST A GUESS",964,"22u5YpwA485h5dMwh1"
"it really diesn't give enough information to make a true educated guess",161,"22u5YpwA485h5dMwh1"
"Or if we'll stick to our own estimation",1152,"22u5YpwA485h5dMwh1"
"They want to see if our answers influence each other",249,"22u5YpwA485h5dMwh1"
"I think so too, Sara.",1152,"22u5YpwA485h5dMwh1"
"yep",1138,"22u5YpwA485h5dMwh1"
"I think i'll stick to my answer, unless someone can point to any reason to change it.",782,"22u5YpwA485h5dMwh1"
"Hi",264,"22u5YpwA485h5dMwh1"
"There are headphones already out there in the world",859,"22u5YpwA485h5dMwh1"
"Well so far I am influnced to go up in my guess as I guessed lower than all you at 120000",362,"22u5YpwA485h5dMwh1"
"im leaving mine as is",964,"22u5YpwA485h5dMwh1"
"I sont think it will be a crazy amount that they exceeded",145,"22u5YpwA485h5dMwh1"
"They also might want to see what numbers people gravitate to in general",349,"22u5YpwA485h5dMwh1"
"Are they asking for the total for the entire campaign or just the additional amount?",249,"22u5YpwA485h5dMwh1"
"They exceeded their goals so I am definitely going to raise what I originally put.",173,"22u5YpwA485h5dMwh1"
"The total",782,"22u5YpwA485h5dMwh1"
"it sounds like those things they use for silent discos",1138,"22u5YpwA485h5dMwh1"
"I'm gonna stick to 150000 I think.",39,"22u5YpwA485h5dMwh1"
"I think I estimated too high. I think it’s probably close to 150000",1286,"22u5YpwA485h5dMwh1"
"hdiamond, I too added only the ""additional"" so I will make sure I put in the 180,000",1152,"22u5YpwA485h5dMwh1"
"Great question Sara, I answered as if it were additional. From what I see in this conversation I was definitely wrong.",173,"22u5YpwA485h5dMwh1"
"that's what came to my mind too, goofy.",39,"22u5YpwA485h5dMwh1"
"This is so strange I wonder if they will give a bonus to the one that guess the closest to right",161,"22u5YpwA485h5dMwh1"
NA,114,"22u5YpwA485h5dMwh1"
"hey",176,"4rBqFnfAQoCJYr93f1"
"howdy",730,"4rBqFnfAQoCJYr93f1"
"hi",466,"4rBqFnfAQoCJYr93f1"
"hey",1079,"4rBqFnfAQoCJYr93f1"
"hi",1330,"4rBqFnfAQoCJYr93f1"
"hello",360,"4rBqFnfAQoCJYr93f1"
"I guessed 1100",150,"4rBqFnfAQoCJYr93f1"
"800",176,"4rBqFnfAQoCJYr93f1"
"hi",873,"4rBqFnfAQoCJYr93f1"
"whattup",1260,"4rBqFnfAQoCJYr93f1"
"hi",469,"4rBqFnfAQoCJYr93f1"
"Baltimore more than Philly, I think",142,"4rBqFnfAQoCJYr93f1"
"I guessed 500",332,"4rBqFnfAQoCJYr93f1"
"1330",1,"4rBqFnfAQoCJYr93f1"
"I put 1000",1330,"4rBqFnfAQoCJYr93f1"
"873",1079,"4rBqFnfAQoCJYr93f1"
"Hi, I guessed 999.",954,"4rBqFnfAQoCJYr93f1"
"i guessed 2000",730,"4rBqFnfAQoCJYr93f1"
"i said 858",873,"4rBqFnfAQoCJYr93f1"
"I guessed 2000 thought it would be similar",360,"4rBqFnfAQoCJYr93f1"
"900",466,"4rBqFnfAQoCJYr93f1"
"1067",142,"4rBqFnfAQoCJYr93f1"
"i said 1800",662,"4rBqFnfAQoCJYr93f1"
"baltimore was bad",1260,"4rBqFnfAQoCJYr93f1"
"I guessed 1,500",1115,"4rBqFnfAQoCJYr93f1"
"8-900",176,"4rBqFnfAQoCJYr93f1"
"I thought Philly might be more than Balt both bad",360,"4rBqFnfAQoCJYr93f1"
"Slightly more, 1300?",1037,"4rBqFnfAQoCJYr93f1"
"i haven't heard as much crap about philly",1260,"4rBqFnfAQoCJYr93f1"
"yes 8-900",873,"4rBqFnfAQoCJYr93f1"
"PHilly a little under Baltimore",142,"4rBqFnfAQoCJYr93f1"
"i think balt is worse",176,"4rBqFnfAQoCJYr93f1"
"I was thinking philly would be twice as bad",257,"4rBqFnfAQoCJYr93f1"
"Baltimore is more dangerous than Philly, but Philly is larger",1330,"4rBqFnfAQoCJYr93f1"
"Last time I guessed 1200 as far as I can remember, and got a good bonus. Trying a bit lower to get some more $ now...",150,"4rBqFnfAQoCJYr93f1"
"why do you think balt is worse",360,"4rBqFnfAQoCJYr93f1"
"Baltimore is much worse",332,"4rBqFnfAQoCJYr93f1"
"They are both geto",1105,"4rBqFnfAQoCJYr93f1"
"I think baltimore would have more gun violtence. More like brothers there...",954,"4rBqFnfAQoCJYr93f1"
"okay, so let's go closer to 1000",176,"4rBqFnfAQoCJYr93f1"
"baltimore was in the news quite a bit for their gun violence issues",1260,"4rBqFnfAQoCJYr93f1"
"which city is bigger",360,"4rBqFnfAQoCJYr93f1"
"yes",873,"4rBqFnfAQoCJYr93f1"
"I'm thinking high 900's",1260,"4rBqFnfAQoCJYr93f1"
"okay",730,"4rBqFnfAQoCJYr93f1"
"everything i know about balt is from the wire",176,"4rBqFnfAQoCJYr93f1"
"I think balt is bigger",360,"4rBqFnfAQoCJYr93f1"
"philly is bigger",1330,"4rBqFnfAQoCJYr93f1"
"baltimore worse per person Philly much much bigger city",469,"4rBqFnfAQoCJYr93f1"
"Philly is bigger, Baltimore more thug",142,"4rBqFnfAQoCJYr93f1"
"Always top of list I also saw a doc about Baltimore",332,"4rBqFnfAQoCJYr93f1"
"thanks jmr",360,"4rBqFnfAQoCJYr93f1"
"It could be higher, but near enough to 1200 to get some good $.",150,"4rBqFnfAQoCJYr93f1"
"I hope I get invited again!",150,"4rBqFnfAQoCJYr93f1"
"If philly is larger, there is def more in philly",257,"4rBqFnfAQoCJYr93f1"
"1150",1330,"4rBqFnfAQoCJYr93f1"
"858",873,"4rBqFnfAQoCJYr93f1"
"you sound very sure",176,"4rBqFnfAQoCJYr93f1"
"that would be my thought if philly is bigger, more incidents",360,"4rBqFnfAQoCJYr93f1"
"thats a specific number",176,"4rBqFnfAQoCJYr93f1"
"I said 2500",257,"4rBqFnfAQoCJYr93f1"
"im stickin with it",873,"4rBqFnfAQoCJYr93f1"
"it's a crap shoot",360,"4rBqFnfAQoCJYr93f1"
"1300",1330,"4rBqFnfAQoCJYr93f1"
"no pun intended",360,"4rBqFnfAQoCJYr93f1"
"philly bigger? 1200+ could be right",176,"4rBqFnfAQoCJYr93f1"
"I know Baltimore is worse but idk how mucn",332,"4rBqFnfAQoCJYr93f1"
"crap shoot--lol",873,"4rBqFnfAQoCJYr93f1"
"2500 might be a bit far out. Good bonus from a guess of 1200!",150,"4rBqFnfAQoCJYr93f1"
"Yes, size matters :)",142,"4rBqFnfAQoCJYr93f1"
"I'll keep my 999.  It's got to be lower by just a little bit.  It's the city of brotherly love... unlike baltimore!",954,"4rBqFnfAQoCJYr93f1"
"Hmm...OK  so you've got this question before?",360,"4rBqFnfAQoCJYr93f1"
"Do we change our guesses now?",257,"4rBqFnfAQoCJYr93f1"
NA,1111,"4rBqFnfAQoCJYr93f1"
"Hello, my guess is 1500",115,"4rBqFnfAQoCJYr93f2"
"Hello",321,"4rBqFnfAQoCJYr93f2"
"Thinking it's less than Blatimore?",369,"4rBqFnfAQoCJYr93f2"
"I said 1000",286,"4rBqFnfAQoCJYr93f2"
"I think that Philadelphia has a greater population",465,"4rBqFnfAQoCJYr93f2"
"I think around 775",1137,"4rBqFnfAQoCJYr93f2"
"Baltimore",369,"4rBqFnfAQoCJYr93f2"
"1500 guess too.",1380,"4rBqFnfAQoCJYr93f2"
"1000 too",224,"4rBqFnfAQoCJYr93f2"
"I put 1000",369,"4rBqFnfAQoCJYr93f2"
"I guessed about 2400",552,"4rBqFnfAQoCJYr93f2"
"I did less than baltimore as well",979,"4rBqFnfAQoCJYr93f2"
"I guessed higher",465,"4rBqFnfAQoCJYr93f2"
"i said 850",779,"4rBqFnfAQoCJYr93f2"
"hi, m guess was 2000",760,"4rBqFnfAQoCJYr93f2"
"I guessed 804",321,"4rBqFnfAQoCJYr93f2"
"I put 1000 too",1061,"4rBqFnfAQoCJYr93f2"
"I think it might be more because of population",252,"4rBqFnfAQoCJYr93f2"
"I'm going with h more",1140,"4rBqFnfAQoCJYr93f2"
"I was going for 950",394,"4rBqFnfAQoCJYr93f2"
"I put 755 i think lol",979,"4rBqFnfAQoCJYr93f2"
"I think its less for sure, but not sure how much",320,"4rBqFnfAQoCJYr93f2"
"that's what I was thinking RC",465,"4rBqFnfAQoCJYr93f2"
"It should be more",552,"4rBqFnfAQoCJYr93f2"
"anyone know the populations for each city?",1061,"4rBqFnfAQoCJYr93f2"
"2500",1140,"4rBqFnfAQoCJYr93f2"
"Philly is a bigger city",115,"4rBqFnfAQoCJYr93f2"
"20",252,"4rBqFnfAQoCJYr93f2"
"Baltimore Population is 619K, Philly is 1.5 Milllion",779,"4rBqFnfAQoCJYr93f2"
"2000",252,"4rBqFnfAQoCJYr93f2"
"I say 1500",115,"4rBqFnfAQoCJYr93f2"
"Population matters little",1137,"4rBqFnfAQoCJYr93f2"
"I think around 650.",1129,"4rBqFnfAQoCJYr93f2"
"yeah MRX",465,"4rBqFnfAQoCJYr93f2"
"but thinking more crime in baltimore?",369,"4rBqFnfAQoCJYr93f2"
"So, probably double?",1380,"4rBqFnfAQoCJYr93f2"
"population doesn't matter that much",320,"4rBqFnfAQoCJYr93f2"
"I thought Baltimore might be more dangerous. Bias??",224,"4rBqFnfAQoCJYr93f2"
"1200",1329,"4rBqFnfAQoCJYr93f2"
"2500 sounds about right",552,"4rBqFnfAQoCJYr93f2"
"i'll go with 2500",252,"4rBqFnfAQoCJYr93f2"
"could be, but I think baltimore is an outlier considering national average",465,"4rBqFnfAQoCJYr93f2"
"2500... OK",115,"4rBqFnfAQoCJYr93f2"
"google says 1021",779,"4rBqFnfAQoCJYr93f2"
"sounds high though",394,"4rBqFnfAQoCJYr93f2"
"Im definitely way off",979,"4rBqFnfAQoCJYr93f2"
"but with a greater population, I would guess Philly having more",465,"4rBqFnfAQoCJYr93f2"
"Well I guess well find out... but the statistics may be wrong. Can;t trust mainstream news anymore",1137,"4rBqFnfAQoCJYr93f2"
"I'm going for 100 then",394,"4rBqFnfAQoCJYr93f2"
"1000*",394,"4rBqFnfAQoCJYr93f2"
"ah, oh well. It's an estimation challenge afterall",465,"4rBqFnfAQoCJYr93f2"
"OK 1000 sounds good",115,"4rBqFnfAQoCJYr93f2"
"They just throw out whatever number sounds right",1137,"4rBqFnfAQoCJYr93f2"
"ok 1000",252,"4rBqFnfAQoCJYr93f2"
"200",320,"4rBqFnfAQoCJYr93f2"
"yup",394,"4rBqFnfAQoCJYr93f2"
"900",321,"4rBqFnfAQoCJYr93f2"
"it may be close between 2400 and 2600",760,"4rBqFnfAQoCJYr93f2"
"1000",115,"4rBqFnfAQoCJYr93f2"
"google says baltimore is 2017",779,"4rBqFnfAQoCJYr93f2"
"900",369,"4rBqFnfAQoCJYr93f2"
"can't trust google then",252,"4rBqFnfAQoCJYr93f2"
"What's the majority feel is good answer?",1140,"4rBqFnfAQoCJYr93f2"
"1000",115,"4rBqFnfAQoCJYr93f2"
"Depends also on how you measure gun violence. Are suicides included?",465,"4rBqFnfAQoCJYr93f2"
"1000",286,"4rBqFnfAQoCJYr93f2"
"no",320,"4rBqFnfAQoCJYr93f2"
"1000",394,"4rBqFnfAQoCJYr93f2"
"Trust facts",552,"4rBqFnfAQoCJYr93f2"
"Philly has high crime right?",979,"4rBqFnfAQoCJYr93f2"
"suicides involve 1 person",320,"4rBqFnfAQoCJYr93f2"
"1000",115,"4rBqFnfAQoCJYr93f2"
"estimate 5.1 murder per 100,000 in 2018",760,"4rBqFnfAQoCJYr93f2"
"Greater population would include more of those too",465,"4rBqFnfAQoCJYr93f2"
"HP: that, they don't tell us :/",394,"4rBqFnfAQoCJYr93f2"
"2300",552,"4rBqFnfAQoCJYr93f2"
"Says Baltimore is KNOWN for high crime",779,"4rBqFnfAQoCJYr93f2"
"right",465,"4rBqFnfAQoCJYr93f2"
"the survey is saying 1000 for baltimore but google says 2000 so who is right",252,"4rBqFnfAQoCJYr93f2"
NA,741,"4rBqFnfAQoCJYr93f2"
"hey",660,"6D4oEx4a8r8HoawbJ1"
"hi",875,"6D4oEx4a8r8HoawbJ1"
"hi",680,"6D4oEx4a8r8HoawbJ1"
"I chose 2.8",1185,"6D4oEx4a8r8HoawbJ1"
"I put 3 million, but thinking more than that",1391,"6D4oEx4a8r8HoawbJ1"
"hi",948,"6D4oEx4a8r8HoawbJ1"
"Hey",686,"6D4oEx4a8r8HoawbJ1"
"i think 3.5m",660,"6D4oEx4a8r8HoawbJ1"
"hi",307,"6D4oEx4a8r8HoawbJ1"
"hello",573,"6D4oEx4a8r8HoawbJ1"
"I think more too",680,"6D4oEx4a8r8HoawbJ1"
"hello",109,"6D4oEx4a8r8HoawbJ1"
"picasso always sells high",945,"6D4oEx4a8r8HoawbJ1"
"not sure, its not really famous",660,"6D4oEx4a8r8HoawbJ1"
"I know one of Picasso’s has a record of 100 million",436,"6D4oEx4a8r8HoawbJ1"
"OMG i had no idea I put 50 million lol",948,"6D4oEx4a8r8HoawbJ1"
"His pas paintings have sold for like 115 mill. So I think maybe it will be closer to that amount",982,"6D4oEx4a8r8HoawbJ1"
"i put in 75",945,"6D4oEx4a8r8HoawbJ1"
"I put 4 million, but I really have no idea. Higher seems more like it.",797,"6D4oEx4a8r8HoawbJ1"
"was thinking 5, but not familiar with this piece",1391,"6D4oEx4a8r8HoawbJ1"
"2 million",686,"6D4oEx4a8r8HoawbJ1"
"Yeah, but this one isn't a famous one",875,"6D4oEx4a8r8HoawbJ1"
"65",573,"6D4oEx4a8r8HoawbJ1"
"i put 65 million",307,"6D4oEx4a8r8HoawbJ1"
"maybe 69",680,"6D4oEx4a8r8HoawbJ1"
"I put 1.7",650,"6D4oEx4a8r8HoawbJ1"
"damnn",660,"6D4oEx4a8r8HoawbJ1"
"anyone read about this or remember?",948,"6D4oEx4a8r8HoawbJ1"
"everybody said so high",660,"6D4oEx4a8r8HoawbJ1"
"I said 5 million, extremely rare painting, maybe more",109,"6D4oEx4a8r8HoawbJ1"
"I think 115 million",751,"6D4oEx4a8r8HoawbJ1"
"His most expensive painting went for over 100 mill",875,"6D4oEx4a8r8HoawbJ1"
"yes, $50-100M range, right?",732,"6D4oEx4a8r8HoawbJ1"
"maybe closer to 11, not a round number?",1391,"6D4oEx4a8r8HoawbJ1"
"i think 5-10",660,"6D4oEx4a8r8HoawbJ1"
"I think 20m",436,"6D4oEx4a8r8HoawbJ1"
"Average cost is 10 mill",875,"6D4oEx4a8r8HoawbJ1"
"I say go high but 50 million? 19 million",109,"6D4oEx4a8r8HoawbJ1"
"so we have to agree on a final answer?",948,"6D4oEx4a8r8HoawbJ1"
"I read about his painting selling for 115 rather recently, but not sure what it looks like.",982,"6D4oEx4a8r8HoawbJ1"
"let see :P",660,"6D4oEx4a8r8HoawbJ1"
"What about 23 mil?",1391,"6D4oEx4a8r8HoawbJ1"
"na, we just have to chat",660,"6D4oEx4a8r8HoawbJ1"
"Very hig but I know nothing about art prices",1185,"6D4oEx4a8r8HoawbJ1"
"The $50-100M range wouldn't surprise me. I think my $4 Million early guess was definitely way low.",797,"6D4oEx4a8r8HoawbJ1"
"43m",680,"6D4oEx4a8r8HoawbJ1"
"Im thinking at least $50. Who agrees?",732,"6D4oEx4a8r8HoawbJ1"
"same jake",660,"6D4oEx4a8r8HoawbJ1"
"Nvm I was wrong about that second number",875,"6D4oEx4a8r8HoawbJ1"
"Jake is way off",573,"6D4oEx4a8r8HoawbJ1"
"it doesn't seem to be on the list of the 20 top paintings sold in 2018",945,"6D4oEx4a8r8HoawbJ1"
"it is called la lampe and sold for 29.6 million",1144,"6D4oEx4a8r8HoawbJ1"
"over 50 at least",307,"6D4oEx4a8r8HoawbJ1"
"55m maybe",680,"6D4oEx4a8r8HoawbJ1"
"you sure nat?",660,"6D4oEx4a8r8HoawbJ1"
"good job!",732,"6D4oEx4a8r8HoawbJ1"
"55 sounds goood",1391,"6D4oEx4a8r8HoawbJ1"
"I'll trust nat",797,"6D4oEx4a8r8HoawbJ1"
"ok, 55 sounds right",109,"6D4oEx4a8r8HoawbJ1"
"29.6",732,"6D4oEx4a8r8HoawbJ1"
NA,1356,"6D4oEx4a8r8HoawbJ1"
NA,272,"6D4oEx4a8r8HoawbJ1"
"it sold for 29 million",520,"6D4oEx4a8r8HoawbJ2"
"hi everyone",1118,"6D4oEx4a8r8HoawbJ2"
"I guessed 5 million",1183,"6D4oEx4a8r8HoawbJ2"
"are you sure?",856,"6D4oEx4a8r8HoawbJ2"
"It could be between 30 and 50",149,"6D4oEx4a8r8HoawbJ2"
"hello",336,"6D4oEx4a8r8HoawbJ2"
"I guessed 25 but i have no idea",233,"6D4oEx4a8r8HoawbJ2"
"I said 2 million, but that was just guessing.",447,"6D4oEx4a8r8HoawbJ2"
"where did you find that?",1301,"6D4oEx4a8r8HoawbJ2"
"29.6 million to be exact",546,"6D4oEx4a8r8HoawbJ2"
"do you know that for sure jones?",447,"6D4oEx4a8r8HoawbJ2"
"I'm thinking 1.5 milliong",689,"6D4oEx4a8r8HoawbJ2"
"https://www.christies.com/lotfinder/Lot/pablo-picasso-1881-1973-la-lampe-6169488-details.aspx",520,"6D4oEx4a8r8HoawbJ2"
"i mean i looked it up",520,"6D4oEx4a8r8HoawbJ2"
"I have no idea",123,"6D4oEx4a8r8HoawbJ2"
"25 million?",452,"6D4oEx4a8r8HoawbJ2"
"i said 3.5 million, but yeah i was just guessing",336,"6D4oEx4a8r8HoawbJ2"
"it's 29.6 million",546,"6D4oEx4a8r8HoawbJ2"
"Is 29.6 exact?",689,"6D4oEx4a8r8HoawbJ2"
"i don't think we are supposed to look it up",447,"6D4oEx4a8r8HoawbJ2"
"I said 45 but knew it was over",896,"6D4oEx4a8r8HoawbJ2"
"yeah . Must be 29",149,"6D4oEx4a8r8HoawbJ2"
"29.562",903,"6D4oEx4a8r8HoawbJ2"
"I thought we were supposed to guess, not look up the answer",1183,"6D4oEx4a8r8HoawbJ2"
"I guess 5llion",1118,"6D4oEx4a8r8HoawbJ2"
"it didn't say we couldnt",520,"6D4oEx4a8r8HoawbJ2"
"i was just thinking about $3 million",856,"6D4oEx4a8r8HoawbJ2"
"i remember when this sold",546,"6D4oEx4a8r8HoawbJ2"
"True it didn't say we couldn't.",689,"6D4oEx4a8r8HoawbJ2"
"Yep 29,562",698,"6D4oEx4a8r8HoawbJ2"
"wow that's alot",1118,"6D4oEx4a8r8HoawbJ2"
"Well it does say ""give your best guess""",1183,"6D4oEx4a8r8HoawbJ2"
"probably supposed to guess but haha",233,"6D4oEx4a8r8HoawbJ2"
"no idea 25",1028,"6D4oEx4a8r8HoawbJ2"
"29 million is incredible.",689,"6D4oEx4a8r8HoawbJ2"
"I guess it never said that, but it seems implied that we aren't supposed to.",447,"6D4oEx4a8r8HoawbJ2"
"it's implied that we shouldn't",123,"6D4oEx4a8r8HoawbJ2"
"It's a Picasso",903,"6D4oEx4a8r8HoawbJ2"
"He more art work out there than anyone else",149,"6D4oEx4a8r8HoawbJ2"
"These things sells for absurdly high prices",903,"6D4oEx4a8r8HoawbJ2"
"I'm not aware of original painting prices but that does seem high",689,"6D4oEx4a8r8HoawbJ2"
"It's too much for a Picasso lol",1183,"6D4oEx4a8r8HoawbJ2"
"I wish I had that painting lol",1118,"6D4oEx4a8r8HoawbJ2"
"I was wondering if we could do a reverse image search! thanks for looking",1301,"6D4oEx4a8r8HoawbJ2"
"yeah i mean i suppose looking it up isnt against the rules",336,"6D4oEx4a8r8HoawbJ2"
"my first guess as 25, pretty close if it's  29.6",452,"6D4oEx4a8r8HoawbJ2"
"so 29 for sure",123,"6D4oEx4a8r8HoawbJ2"
"yep",698,"6D4oEx4a8r8HoawbJ2"
"It does say ""give your best guess""",447,"6D4oEx4a8r8HoawbJ2"
"The painting is unusual but still not sure worth 29 million.",689,"6D4oEx4a8r8HoawbJ2"
"Picasso or not",689,"6D4oEx4a8r8HoawbJ2"
"Right",1183,"6D4oEx4a8r8HoawbJ2"
"I was way off at 5 million",1118,"6D4oEx4a8r8HoawbJ2"
"I agree",1183,"6D4oEx4a8r8HoawbJ2"
"32 million dollars",26,"6D4oEx4a8r8HoawbJ2"
"1.5 is fair",689,"6D4oEx4a8r8HoawbJ2"
"Money laundering is a powerful thing",903,"6D4oEx4a8r8HoawbJ2"
"you should google most expensive paintings to see the real terrible stuff",520,"6D4oEx4a8r8HoawbJ2"
"haha",123,"6D4oEx4a8r8HoawbJ2"
"artists sell, not the art",452,"6D4oEx4a8r8HoawbJ2"
"Didn't he cut his ear off",698,"6D4oEx4a8r8HoawbJ2"
"250,000",358,"6D4oEx4a8r8HoawbJ2"
"I am curious what the most was paid for a painting.",689,"6D4oEx4a8r8HoawbJ2"
"No, it has Van Gogh",903,"6D4oEx4a8r8HoawbJ2"
"Lol",1118,"6D4oEx4a8r8HoawbJ2"
"He also died in the 70s which makes its price even more incredible.",896,"6D4oEx4a8r8HoawbJ2"
"thanks",698,"6D4oEx4a8r8HoawbJ2"
NA,207,"6D4oEx4a8r8HoawbJ2"
"hi",472,"6uaK4yRR7pkoBmFzW1"
"I think 2 million",380,"6uaK4yRR7pkoBmFzW1"
"hi",196,"6uaK4yRR7pkoBmFzW1"
"Hi everyone",1254,"6uaK4yRR7pkoBmFzW1"
"anyone actually now this?",363,"6uaK4yRR7pkoBmFzW1"
"sup",758,"6uaK4yRR7pkoBmFzW1"
"anyone know for sure?",1133,"6uaK4yRR7pkoBmFzW1"
"Hello",674,"6uaK4yRR7pkoBmFzW1"
"I guess 18",196,"6uaK4yRR7pkoBmFzW1"
"i put 2 million",363,"6uaK4yRR7pkoBmFzW1"
"Hello",391,"6uaK4yRR7pkoBmFzW1"
"I said 2 million",1254,"6uaK4yRR7pkoBmFzW1"
"I put 4 million",298,"6uaK4yRR7pkoBmFzW1"
"hi, i thought about 200 million",199,"6uaK4yRR7pkoBmFzW1"
"i think this is a valuable one",472,"6uaK4yRR7pkoBmFzW1"
"I put 7 Million but I think I way over estimated",1385,"6uaK4yRR7pkoBmFzW1"
"no idea for sure",196,"6uaK4yRR7pkoBmFzW1"
"I guessed 28 mil",391,"6uaK4yRR7pkoBmFzW1"
"I know the highest selling van gogh is 68 mil",674,"6uaK4yRR7pkoBmFzW1"
"I said 2 mil, but I think it's more",144,"6uaK4yRR7pkoBmFzW1"
"I said 3",1133,"6uaK4yRR7pkoBmFzW1"
"Hi",1346,"6uaK4yRR7pkoBmFzW1"
"my guess is 3",696,"6uaK4yRR7pkoBmFzW1"
"I said 23 million",1134,"6uaK4yRR7pkoBmFzW1"
"I'm trying to remember if this is the piece that set a record for the price that it sold.",900,"6uaK4yRR7pkoBmFzW1"
"i said 3",472,"6uaK4yRR7pkoBmFzW1"
"im throwing like 20 million because of the name",758,"6uaK4yRR7pkoBmFzW1"
"maybe not too much more than 200?",199,"6uaK4yRR7pkoBmFzW1"
"I guessed 80 million.",900,"6uaK4yRR7pkoBmFzW1"
"I have never seen this piece before",1254,"6uaK4yRR7pkoBmFzW1"
"Damn... 200 Million for charcoal?",1385,"6uaK4yRR7pkoBmFzW1"
"it has to be a lot",1133,"6uaK4yRR7pkoBmFzW1"
"3 million",1346,"6uaK4yRR7pkoBmFzW1"
"yeah",472,"6uaK4yRR7pkoBmFzW1"
"68 is the highest ever van gogh i believe",674,"6uaK4yRR7pkoBmFzW1"
"I don’t know",1202,"6uaK4yRR7pkoBmFzW1"
"Charcoal is that high.",351,"6uaK4yRR7pkoBmFzW1"
"3-4 is my guess",144,"6uaK4yRR7pkoBmFzW1"
"so probably around 8?",674,"6uaK4yRR7pkoBmFzW1"
"wow really?",1254,"6uaK4yRR7pkoBmFzW1"
"Thats crazy",1254,"6uaK4yRR7pkoBmFzW1"
"It’s worth a lot",1202,"6uaK4yRR7pkoBmFzW1"
"yeah 3 is more",472,"6uaK4yRR7pkoBmFzW1"
"34?",1133,"6uaK4yRR7pkoBmFzW1"
"he is dead so no more",196,"6uaK4yRR7pkoBmFzW1"
"3.6",380,"6uaK4yRR7pkoBmFzW1"
"I think 4 million is enough for that",298,"6uaK4yRR7pkoBmFzW1"
"I'm sticking with 7",1385,"6uaK4yRR7pkoBmFzW1"
"Maybe 5?",1254,"6uaK4yRR7pkoBmFzW1"
"4 maybe",472,"6uaK4yRR7pkoBmFzW1"
"I think auction is usually high",196,"6uaK4yRR7pkoBmFzW1"
"I don't even really like it",1133,"6uaK4yRR7pkoBmFzW1"
"I said 1.5",351,"6uaK4yRR7pkoBmFzW1"
":0",674,"6uaK4yRR7pkoBmFzW1"
"i thought 5.5",874,"6uaK4yRR7pkoBmFzW1"
"you're right, it's just charcoal",199,"6uaK4yRR7pkoBmFzW1"
"oh",472,"6uaK4yRR7pkoBmFzW1"
"Everything of his is really high",391,"6uaK4yRR7pkoBmFzW1"
"It's called Peasant Woman, Planting Beets",380,"6uaK4yRR7pkoBmFzW1"
"because there is no more",196,"6uaK4yRR7pkoBmFzW1"
"Going with 5",1202,"6uaK4yRR7pkoBmFzW1"
